OBJECTID,SQMI,CSA2020,SHAPE_Length,SHAPE_Area
1,2.287450563,Allendale/Irvington/S. Hilton,0.123710952,0.000618533
2,1.717549347,Beechfield/Ten Hills/West Hills,0.115560759,0.000464457
3,1.612360482,Belair-Edison,0.102119167,0.000436211
4,11.44464734,Brooklyn/Curtis Bay/Hawkins Point,0.488591561,0.001706499
5,0.834285285,Canton,0.072594635,0.000149454
6,2.566192475,Cedonia/Frankford,0.123066843,0.000694371
7,1.32088128,Cherry Hill,0.069710294,0.000282547
8,0.754081659,Chinquapin Park/Belvedere,0.067315015,0.000204128
9,2.196818125,Orchard Ridge/Armistead,0.126783502,0.000594261
10,0.835242838,Clifton-Berea,0.077284099,0.000225937
11,1.371026254,Cross-Country/Cheswolde,0.088548581,0.000371147
12,1.281246858,Dickeyville/Franklintown,0.098549759,0.000346589
13,1.223824796,Dorchester/Ashburton,0.085615189,0.000331144
14,0.743821539,Downtown/Seton Hill,0.06837693,0.000201162
15,0.845208514,Edmondson Village,0.069852657,0.000228596
16,0.601475298,Fells Point,0.087216954,0.000122396
17,1.334385583,Forest Park/Walbrook,0.117180267,0.000360984
18,1.685730798,Glen-Fallstaff,0.153530857,0.000456279
19,0.970328765,Greater Charles Village/Barclay,0.079499778,0.000262528
20,0.8141965,Greater Govans,0.069511635,0.000220345
21,1.207510054,Greater Mondawmin,0.098251597,0.000326662
22,2.033407411,Greater Roland Park/Poplar Hill,0.122061951,0.000550387
23,1.513873986,Greater Rosemont,0.103376012,0.000409462
24,1.621007682,Hamilton,0.087602284,0.000438734
25,2.344468806,Hamilton Hills,0.127885174,0.000634652
26,0.419112686,Highlandtown,0.044956851,0.000113331
27,2.269227434,Howard Park/West Arlington,0.111210813,0.000614046
28,1.130381209,Inner Harbor/Federal Hill,0.138549103,0.000242427
29,1.781513438,Greater Lauraville,0.108060251,0.000482105
30,1.583584866,Loch Raven,0.093723152,0.000428676
31,0.319166279,Madison/East End,0.042765572,8.63E-05
32,2.239780233,Hampden/Remington,0.134594372,0.000606086
33,0.641517134,Midway/Coldstream,0.072355062,0.000173544
34,2.420183583,Morrell Park/Violetville,0.147078657,0.000654277
35,2.042551174,Mount Washington/Coldspring,0.119992203,0.000552893
36,2.687528255,North Baltimore/Guilford/Homeland,0.129002159,0.000727417
37,1.891904549,Northwood,0.121927576,0.000511988
38,3.22451691,Greektown/Bayview,0.148695872,0.000872043
39,0.520390094,Patterson Park North & East,0.068471114,0.00014074
40,1.472817546,Penn North/Reservoir Hill,0.092944588,0.000398459
41,1.090484461,Pimlico/Arlington/Hilltop,0.080301568,0.000295137
42,0.333663804,Poppleton/The Terraces/Hollins Market,0.038673874,9.02E-05
43,0.849119493,Sandtown-Winchester/Harlem Park,0.065941411,0.00022969
44,3.245904582,South Baltimore,0.214906115,0.000449499
45,6.777785094,Southeastern,0.315771134,0.001078813
46,0.999922076,Southern Park Heights,0.07486916,0.000270581
47,1.354671317,Southwest Baltimore,0.091200307,0.000366321
48,0.731166442,The Waverlies,0.057675529,0.000197827
49,1.482893275,Pigtown/Carroll Park,0.12019099,0.000381566
50,1.76349343,Westport/Mount Winans/Lakeland,0.139134057,0.000441117
51,0.056591936,Unassigned -- Jail,0.015847575,1.53E-05
52,0.881832017,Oldtown/Middle East,0.075712511,0.000238497
53,0.40443349,Harbor East/Little Italy,0.056735059,9.91E-05
54,0.608952549,Upton/Druid Heights,0.060878336,0.0001647
55,0.854566623,Midtown,0.079334149,0.000231154
56,0.684124187,Oliver/Johnson Square,0.067652761,0.000185063
